Player,C,GP,SFrac,G,A,P,+/-,ESG,ESA,ESP,PPG,PPA,PPP,SHG,SHA,SHP,TGF,PGF,TGA,PGA,SHGF,SHGA,ESGF,ESGA,$ESG,$ESA,$ESP,$ESP/S,$ESGF,$ESGA,R-ON,R-OFF,XEV+/-,EV+/-,AEV+/-,EV%,TmEV+,EVCalc,TmEVR,$PPG,$PPA,$PPP,$PPP/S,PP%,TmPP+,PPCalc,TmPPR,$SHG,$SHA,$SHP,$SHP/S,SH%,TmSH+,SHCalc,TmSHR,Column1
"COFFEY, PAUL",D,1409,17.8,396,1135,1531,294,241,583,824,135,523,658,20,29,49,3095,1147,2018,364,90,158,1858,1496,216,526,742,42,1691,1370,1.23,1.21,185,321,136,43%,1.22,7.7,2,112,429,541,30,79%,1.13,14.0,1.8,17,17,35,2,28%,0.82,4.9,-1.0,1370.35
"SELANNE, TEEMU",R,1387,17.7,675,755,1430,87,417,424,841,251,329,580,7,2,9,1944,848,1055,50,11,116,1085,889,471,485,956,54,1238,1022,1.21,0.86,-109,216,325,36%,0.98,6.3,0,247,324,572,32,73%,1.08,12.9,1.0,8,8,17,1,4%,1.08,0.8,0.1,1021.81
"TROTTIER, BRYAN",C,1279,16.0,524,901,1425,452,344,627,971,161,257,418,19,17,36,2032,660,1246,326,53,50,1319,870,289,527,816,51,1107,740,1.50,1.17,92,367,274,33%,1.29,5.3,1,156,245,401,25,54%,1.28,8.6,2.2,18,18,37,2,27%,0.94,4.3,-0.3,740.46
"OATES, ADAM",C,1337,16.8,341,1078,1419,35,226,646,872,103,409,512,12,23,35,2019,792,1440,248,52,99,1175,1093,230,665,895,53,1211,1137,1.06,0.99,-7,73,80,38%,1.02,6.4,0,95,405,500,30,72%,1.08,12.1,0.9,13,13,26,2,27%,0.87,4.5,-0.6,1137.33
"ESPOSITO, PHIL",C,1047,13.4,643,773,1416,197,387,474,861,235,287,522,21,12,33,2013,776,1239,199,48,70,1189,970,370,452,822,62,1132,902,1.26,1.25,145,230,86,39%,1.26,5.2,1,260,329,589,44,82%,1.36,11.0,3.4,28,28,56,4,27%,0.83,3.6,-0.7,901.58
"GILMOUR, DOUG",C,1474,18.5,450,964,1414,132,279,604,883,153,334,487,18,26,44,2010,753,1551,426,62,91,1195,1034,270,593,863,47,1172,1031,1.14,1.00,-2,142,143,34%,1.04,6.2,0,133,297,429,23,58%,1.05,10.7,0.6,16,16,32,2,34%,1.00,6.3,0.0,1030.59
"HAWERCHUK, DALE",C,1188,14.9,518,891,1409,-92,323,499,822,182,382,564,13,10,23,1953,843,1342,140,31,124,1079,1078,279,436,715,48,940,934,1.01,0.92,-49,6,55,34%,0.95,5.0,0,143,295,439,29,71%,1.01,10.6,0.1,12,12,24,2,12%,1.01,1.8,0.0,933.55
"KURRI, JARI",L,1251,15.8,601,797,1398,298,407,516,923,155,238,393,39,43,82,2039,615,1441,315,93,83,1331,1043,352,448,800,51,1157,946,1.22,1.12,80,210,130,34%,1.16,5.3,1,127,200,326,21,50%,1.07,7.9,0.5,31,31,62,4,26%,0.86,4.1,-0.6,946.48
"ROBITAILLE, LUC",L,1431,17.9,668,726,1394,72,418,463,881,247,260,507,3,3,6,2013,793,1205,57,13,113,1207,1035,432,476,908,51,1248,1063,1.17,1.00,2,185,183,33%,1.06,6.0,0,210,223,433,24,59%,1.06,10.6,0.6,2,2,5,0,4%,0.98,0.7,0.0,1063.06
"HULL, BRETT",R,1269,16.0,741,650,1391,23,456,371,827,265,271,536,20,8,28,1888,795,1223,143,35,107,1058,973,475,399,874,55,1118,1023,1.09,1.14,89,95,7,37%,1.11,6.0,1,242,251,493,31,71%,1.10,11.3,1.0,20,20,41,3,16%,0.91,2.5,-0.2,1022.57
"MODANO, MIKE",R,1499,18.6,561,823,1384,114,375,469,844,157,336,493,29,18,47,1858,771,1246,260,52,118,1035,868,406,512,918,49,1126,933,1.21,1.03,18,194,175,33%,1.08,6.1,0,141,304,445,24,62%,0.99,11.5,-0.1,34,34,68,4,25%,0.91,4.7,-0.4,932.72
"SHANAHAN, BRENDAN",R,1524,19.0,656,698,1354,151,396,414,810,237,270,507,23,14,37,1969,807,1167,156,44,97,1118,914,428,449,877,46,1212,987,1.23,1.09,60,225,165,32%,1.13,6.1,1,220,247,467,25,58%,1.14,11.1,1.5,25,25,50,3,14%,0.87,2.7,-0.4,987.09
"LAFLEUR, GUY",R,1126,14.1,560,793,1353,453,404,528,932,153,263,416,3,2,5,1964,677,863,29,7,63,1280,771,351,456,808,57,1110,666,1.67,1.35,173,445,272,34%,1.47,4.8,2,158,267,425,30,70%,1.20,9.8,1.8,4,4,8,1,4%,0.83,0.6,-0.1,665.68
"SUNDIN, MATS",R,1346,16.8,564,785,1349,73,373,467,840,160,293,453,31,25,56,1790,686,1328,274,58,105,1046,949,417,520,937,56,1163,1052,1.11,0.96,-33,111,145,35%,1.00,5.9,0,154,267,421,25,64%,0.96,10.7,-0.4,31,31,61,4,24%,1.05,4.0,0.2,1051.95
"ANDREYCHUK, DAVE",L,1639,20.6,640,698,1338,38,356,401,757,274,294,568,10,3,13,2048,911,1225,126,23,114,1114,985,351,387,737,36,1087,983,1.11,0.98,-10,104,114,29%,1.03,5.9,0,229,247,476,23,62%,1.02,12.8,0.3,10,10,20,1,12%,0.99,2.4,0.0,983.20
"SAVARD, DENIS",C,1196,15.2,473,865,1338,97,326,494,820,127,358,485,20,13,33,1705,641,1137,155,38,84,1026,898,286,430,716,47,894,789,1.13,0.99,-4,106,109,31%,1.04,4.7,0,106,298,404,27,58%,1.01,8.9,0.1,16,16,33,2,13%,0.99,2.0,0.0,788.78
"GARTNER, MIKE",R,1432,18.1,708,627,1335,67,468,424,892,217,199,416,23,4,27,2029,726,1350,114,31,106,1272,1130,416,376,792,44,1133,1008,1.12,1.01,4,124,121,34%,1.04,6.2,0,168,153,320,18,51%,1.00,9.3,0.0,23,23,46,3,10%,0.88,1.8,-0.2,1008.44
"TURGEON, PIERRE",C,1294,16.3,515,812,1327,139,315,505,820,190,297,487,10,10,20,1734,692,1039,130,26,82,1016,827,337,529,866,53,1070,865,1.24,1.04,22,205,182,33%,1.09,5.3,0,172,282,454,28,62%,1.07,10.1,0.7,11,11,21,1,12%,0.98,2.0,0.0,865.15
"PERREAULT, GILBERT",C,1191,15.0,512,814,1326,42,370,517,887,134,293,427,8,4,12,1855,661,1249,95,17,79,1177,1075,319,443,762,51,1011,934,1.08,1.12,74,77,2,36%,1.11,5.5,1,134,292,425,28,70%,1.05,10.5,0.6,9,9,18,1,12%,0.81,1.8,-0.4,934.06
"MacINNIS, AL",D,1416,17.7,340,934,1274,372,164,354,518,166,557,723,10,23,33,2709,1189,1639,492,79,129,1441,1018,164,352,516,29,1437,1015,1.42,1.12,88,421,334,38%,1.21,6.7,1,148,484,632,36,87%,1.18,15.3,2.6,9,9,19,1,39%,0.93,6.9,-0.5,1015.34
"STASTNY, PETER",C,977,12.2,450,789,1239,-12,298,462,760,145,320,465,7,7,14,1687,664,1120,79,17,109,1006,932,249,383,632,52,840,781,1.08,0.97,-15,59,74,36%,1.01,4.4,0,113,252,365,30,70%,0.98,8.6,-0.1,7,7,14,1,8%,1.03,1.0,0.0,781.06
"HOUSLEY, PHIL",D,1495,18.8,338,894,1232,-53,202,411,613,129,480,609,7,3,10,2403,1069,1527,140,20,141,1314,1246,191,402,594,32,1287,1211,1.06,0.97,-28,76,104,38%,1.00,7.1,0,113,423,536,28,84%,1.01,15.8,0.1,7,7,14,1,11%,0.95,2.1,-0.1,1211.37
"MURPHY, LARRY",D,1615,20.3,287,929,1216,200,164,487,651,114,426,540,9,16,25,2774,1032,1958,416,71,146,1671,1396,155,463,618,30,1594,1325,1.20,1.02,18,269,250,39%,1.10,8.0,1,94,341,435,21,65%,1.05,13.3,0.7,9,9,17,1,32%,0.91,6.5,-0.6,1325.29
"ROENICK, JEREMY",C,1363,16.9,513,703,1216,153,301,436,737,184,247,431,28,20,48,1630,642,1063,211,53,83,935,769,321,471,792,47,1008,836,1.21,1.05,32,172,140,32%,1.12,5.4,1,166,233,399,24,60%,0.99,10.2,-0.1,25,25,51,3,19%,0.89,3.3,-0.4,836.33
"CLARKE, BOBBY",C,1147,14.5,358,852,1210,506,227,585,812,99,230,329,32,37,69,1640,513,1021,392,80,48,1047,581,203,516,719,50,926,517,1.79,1.20,84,409,325,30%,1.37,4.4,1,111,254,365,25,59%,1.13,8.5,1.0,32,32,63,4,40%,0.81,5.8,-1.2,516.58
"NICHOLLS, BERNIE",C,1127,14.4,475,734,1209,-38,295,430,725,152,289,441,28,15,43,1711,665,1330,236,48,102,998,992,266,393,659,46,914,902,1.01,0.96,-26,12,38,33%,0.98,4.8,0,125,239,364,25,61%,1.01,8.8,0.1,26,26,52,4,22%,1.05,3.1,0.2,901.57
"DAMPHOUSSE, VINCENT",L,1378,17.3,432,773,1205,9,285,478,763,130,276,406,17,19,36,1659,597,1274,214,43,91,1019,969,289,498,787,45,1061,994,1.07,0.96,-27,67,94,32%,0.99,5.6,0,122,262,385,22,56%,0.98,9.7,-0.2,17,17,34,2,19%,0.97,3.3,-0.1,993.56
"CICCARELLI, DINO",R,1232,15.6,608,592,1200,-2,374,402,776,233,189,422,1,1,2,1770,681,1118,27,3,109,1086,982,339,368,708,45,992,894,1.11,1.00,-2,98,99,34%,1.02,5.3,0,184,152,336,22,56%,1.00,8.7,0.0,1,1,2,0,2%,1.18,0.3,0.0,894.13
"BRIND'AMOUR, ROD",L,1484,18.5,452,732,1184,-39,275,456,731,149,248,397,28,28,56,1726,636,1646,515,76,98,1014,1033,300,497,797,43,1096,1123,0.98,1.07,46,-27,-73,33%,1.04,6.1,0,129,221,350,19,50%,0.98,9.3,-0.2,29,29,59,3,45%,0.99,8.3,-0.1,1123.34
"FEDOROV, SERGEI",C,1249,15.6,483,696,1179,261,308,409,717,144,256,400,36,31,67,1686,662,1066,294,76,68,948,704,340,452,792,51,1040,786,1.32,1.09,53,255,201,32%,1.16,5.0,1,136,238,374,24,58%,1.17,9.1,1.4,39,39,79,5,31%,0.83,4.8,-0.9,785.83
"GOULET, MICHEL",L,1089,13.5,548,604,1152,97,354,412,766,178,185,363,16,7,23,1608,593,1045,120,25,92,990,833,295,347,641,47,829,703,1.18,0.92,-41,126,166,32%,1.00,4.4,0,133,140,274,20,55%,0.99,7.4,-0.1,16,16,31,2,11%,0.99,1.5,0.0,703.33
"LIDSTROM, NICKLAS",D,1564,19.4,264,878,1142,450,122,390,512,132,458,590,10,30,40,2679,1046,1718,535,107,103,1526,1080,138,440,577,30,1713,1208,1.42,1.18,155,505,350,41%,1.27,7.9,2,130,432,562,29,72%,1.23,14.1,2.9,13,13,25,1,51%,0.81,10.0,-2.1,1208.01
"FEDERKO, BERNIE",C,1000,12.5,369,761,1130,-132,248,460,708,119,301,420,2,0,2,1484,599,1030,11,3,89,882,930,205,379,584,47,730,775,0.94,0.90,-52,-45,7,34%,0.92,4.2,0,100,249,348,28,71%,0.91,8.9,-0.8,2,2,4,0,1%,1.03,0.1,0.0,774.53
"RATELLE, JEAN",C,1022,13.0,433,695,1128,299,300,502,802,129,190,319,4,3,7,1492,478,785,67,12,52,1002,666,287,473,760,58,948,629,1.51,1.27,122,319,197,33%,1.34,4.3,1,152,222,374,29,60%,1.21,7.8,1.5,5,5,10,1,9%,0.86,1.2,-0.2,629.09
"NIEUWENDYK, JOE",C,1257,15.8,564,562,1126,155,337,356,693,215,204,419,12,2,14,1590,638,915,117,22,72,930,726,363,380,743,47,989,773,1.28,1.21,111,215,104,31%,1.24,4.9,1,187,191,377,24,55%,1.12,8.7,1.0,9,9,19,1,9%,0.93,1.4,-0.1,773.48
"BOSSY, MIKE",R,752,9.4,573,553,1126,381,384,358,742,181,194,375,8,1,9,1468,531,588,32,10,41,927,515,311,288,599,64,751,418,1.80,1.18,62,333,271,36%,1.35,3.3,1,177,186,363,39,75%,1.27,7.1,1.7,7,7,13,1,5%,0.87,0.4,-0.1,417.91
"SITTLER, DARRYL",L,1096,13.8,484,637,1121,53,324,471,795,150,157,307,10,9,19,1528,454,1212,187,26,53,1048,972,280,406,686,50,903,835,1.08,1.04,25,68,43,35%,1.08,4.8,0,147,155,302,22,53%,1.01,7.4,0.1,10,10,21,1,18%,1.09,2.5,0.2,835.44
"THORNTON, JOE",C,1125,14.1,331,787,1118,158,210,487,697,115,295,410,6,5,11,1468,591,808,86,15,72,862,650,246,570,816,58,1013,762,1.33,0.96,-25,250,276,35%,1.08,5.0,0,116,310,426,30,66%,1.09,9.4,0.8,8,8,17,1,10%,1.07,1.5,0.1,762.39
"ALFREDSSON, DANIEL",R,1178,14.8,426,683,1109,153,270,386,656,131,279,410,25,18,43,1525,626,934,162,47,79,852,693,314,445,760,51,990,803,1.23,1.04,25,187,162,33%,1.09,4.9,0,133,281,414,28,69%,1.03,10.2,0.3,30,30,60,4,20%,0.88,2.9,-0.4,803.33
"IGINLA, JAROME",R,1232,15.4,530,576,1106,48,352,361,713,165,206,371,13,9,22,1486,565,1003,119,24,75,897,809,410,421,831,54,1046,946,1.11,0.89,-75,100,175,37%,0.98,5.8,0,169,209,378,25,64%,0.96,9.9,-0.4,15,15,29,2,12%,1.03,1.8,0.1,946.15
"ANDERSON, GLENN",R,1129,14.3,498,601,1099,201,334,428,762,151,166,317,13,7,20,1682,556,1061,131,34,62,1092,868,291,373,664,46,947,766,1.24,1.21,105,181,76,31%,1.20,4.4,1,121,135,256,18,49%,1.11,7.0,0.7,11,11,22,2,12%,0.86,1.7,-0.3,765.93
"FLEURY, THEOREN",C,1084,13.7,455,633,1088,145,295,379,674,125,239,364,35,15,50,1547,581,1071,234,57,80,909,757,320,407,726,53,980,828,1.18,1.01,3,152,148,36%,1.07,4.9,0,116,228,344,25,64%,1.02,8.8,0.2,33,33,66,5,24%,1.03,3.3,0.1,827.98
"TAYLOR, DAVE",R,1111,13.8,431,638,1069,181,304,439,743,123,196,319,4,3,7,1607,530,982,86,13,78,1064,818,255,369,625,45,897,687,1.31,0.84,-88,210,299,30%,0.95,4.1,0,94,147,242,17,47%,1.00,6.5,0.0,4,4,7,1,7%,1.12,1.0,0.1,686.51
"TKACHUK, KEITH",L,1201,15.0,538,527,1065,33,313,352,665,212,161,373,13,14,27,1526,606,984,81,27,91,893,812,358,405,762,51,1016,924,1.10,0.87,-91,92,183,35%,0.94,5.3,0,201,156,357,24,65%,0.96,9.8,-0.4,14,14,29,2,8%,0.99,1.3,0.0,923.55
"VERBEEK, PAT",R,1424,17.9,522,541,1063,-44,332,353,685,186,182,368,4,6,10,1654,652,1159,110,15,89,987,960,324,349,673,38,975,922,1.06,0.93,-46,52,98,31%,0.97,5.5,0,155,150,305,17,52%,0.98,9.2,-0.1,3,3,7,0,7%,1.14,1.3,0.2,922.29
"MULLEN, JOE",R,1062,13.5,502,561,1063,163,341,373,714,150,184,334,11,4,15,1531,536,935,99,20,74,975,762,305,338,643,47,882,685,1.29,1.11,54,197,143,31%,1.16,4.2,1,123,148,271,20,48%,1.12,6.5,0.7,11,11,22,2,10%,0.95,1.4,-0.1,685.01
"POTVIN, DENIS",D,1060,13.3,310,742,1052,460,173,390,563,127,332,459,10,20,30,2251,809,1427,445,77,72,1365,910,147,329,476,36,1152,773,1.49,1.23,130,378,248,43%,1.32,5.7,2,127,336,463,35,87%,1.18,11.5,1.9,11,11,22,2,53%,0.83,7.1,-1.4,773.40
"SMITH, BOBBY",C,1077,13.4,357,679,1036,-10,231,424,655,125,252,377,1,3,4,1407,549,892,23,7,81,851,788,193,354,548,41,713,660,1.08,1.08,33,53,20,30%,1.09,4.0,0,99,197,296,22,54%,0.97,7.3,-0.2,1,1,2,0,3%,0.92,0.4,0.0,659.70
"WEIGHT, DOUG",L,1238,15.5,278,755,1033,-58,198,392,590,80,358,438,2,5,7,1472,671,952,95,15,93,786,764,221,443,664,43,887,866,1.02,0.88,-72,21,93,31%,0.93,4.9,0,70,329,399,26,68%,0.96,10.5,-0.4,2,2,4,0,9%,1.04,1.4,0.1,866.40
"WHITNEY, RAY",C,1261,16.0,376,656,1032,-73,262,354,616,109,299,408,5,3,8,1392,593,928,55,11,97,788,776,308,411,719,45,922,907,1.02,0.88,-75,15,91,31%,0.92,4.9,0,110,291,401,25,65%,0.88,10.4,-1.4,5,5,11,1,6%,0.94,0.9,-0.1,907.13
"MOGILNY, ALEXANDER",L,990,12.5,473,559,1032,81,312,337,649,141,208,349,20,14,34,1364,523,885,111,36,70,805,704,330,363,693,56,860,758,1.13,0.99,-3,102,105,35%,1.03,4.4,0,128,197,325,26,60%,1.07,7.5,0.5,19,19,38,3,13%,0.95,1.6,-0.1,758.06
"KOVALEV, ALEXEI",R,1316,16.54340883,430,599,1029,-31,288,343,631,133,247,380,9,9,18,1510,625,1038,116,24,82,861,840,331,393,724,44,989,973,1.02,0.93,-45,16,61,32%,0.96,5.4,0,130,244,374,23,57%,1.08,9.5,0.7,11,11,22,1,10%,1.04,1.7,0.1,973.48
"LEETCH, BRIAN",D,1205,15.2,247,781,1028,25,128,336,464,111,431,542,8,14,22,2204,946,1742,509,73,125,1185,1108,140,358,498,33,1273,1205,1.06,0.97,-22,67,89,45%,1.01,6.8,0,104,400,504,33,88%,1.11,13.3,1.4,7,7,15,1,50%,1.02,7.5,0.2,1205.10
"BELLOWS, BRIAN",R,1188,15.0,485,537,1022,-125,274,310,584,198,218,416,13,9,22,1497,647,1123,147,25,108,825,868,250,284,534,36,761,809,0.94,0.95,-26,-48,-22,30%,0.95,4.6,0,160,173,333,22,57%,1.00,8.5,0.0,10,10,21,1,12%,1.03,1.7,0.0,808.88
"HUNTER, DALE",C,1407,17.8,323,697,1020,98,221,525,746,92,155,247,10,17,27,1513,438,1210,231,37,68,1038,911,198,467,665,37,929,832,1.12,1.05,29,97,67,28%,1.07,5.0,0,72,122,194,11,32%,1.00,5.7,0.0,9,9,19,1,18%,0.94,3.2,-0.2,832.07
"LaFONTAINE, PAT",C,865,10.9,468,545,1013,-4,301,310,611,156,235,391,11,0,11,1402,600,899,89,15,82,787,728,276,288,564,52,728,679,1.07,0.95,-24,49,74,37%,0.99,4.0,0,128,196,324,30,72%,1.05,7.8,0.4,10,10,20,2,10%,1.02,1.1,0.0,679.06
"LARMER, STEVE",R,1006,12.9,441,571,1012,204,255,336,591,162,204,366,24,31,55,1571,627,999,247,58,71,886,681,227,300,527,41,784,603,1.30,0.94,-26,181,207,32%,1.05,4.1,0,127,160,287,22,61%,1.07,7.9,0.5,19,19,38,3,25%,0.88,3.2,-0.4,603.42
"McDONALD, LANNY",R,1111,13.9,500,506,1006,41,350,328,678,139,174,313,11,4,15,1519,500,1114,134,20,62,999,918,294,277,571,41,842,771,1.09,0.99,-5,71,76,32%,1.03,4.4,0,131,160,291,21,54%,1.02,7.6,0.2,13,13,26,2,14%,1.06,2.0,0.1,771.49
"PROPP, BRIAN",L,1016,12.7,425,578,1003,310,283,352,635,120,200,320,22,26,48,1497,506,896,208,51,53,940,635,236,295,531,42,785,536,1.47,1.12,50,250,200,31%,1.22,3.9,1,100,164,264,21,54%,1.03,6.8,0.2,19,19,37,3,22%,0.83,2.8,-0.5,535.66
"KARIYA, PAUL",L,989,12.5,402,587,989,31,246,330,576,139,251,390,17,6,23,1330,569,859,121,25,84,736,654,285,384,670,54,854,771,1.11,0.91,-51,83,134,38%,0.98,4.7,0,137,243,381,31,78%,0.90,9.7,-1.0,20,20,40,3,16%,1.09,2.0,0.2,770.95
"MIDDLETON, RICK",R,1005,12.6,448,540,988,180,308,362,670,115,160,275,25,18,43,1447,453,1028,200,47,46,947,782,256,300,555,44,786,653,1.20,1.20,87,133,46,32%,1.21,4.0,1,103,145,247,20,52%,1.07,6.5,0.5,24,24,48,4,25%,0.84,3.1,-0.5,653.15
"MULLER, KIRK",C,1349,17.0,357,602,959,-146,212,414,626,134,176,310,11,12,23,1391,497,1396,352,44,74,850,970,202,399,601,35,822,958,0.86,1.02,13,-136,-148,29%,0.99,5.0,0,112,144,256,15,43%,0.96,7.2,-0.3,10,10,21,1,29%,1.10,4.9,0.5,957.89
"ROBINSON, LARRY",D,1384,17.3,208,750,958,730,139,503,642,66,240,306,3,7,10,2635,608,1716,419,64,65,1963,1232,119,429,548,32,1676,1049,1.60,1.34,257,627,370,43%,1.44,7.5,3,62,225,286,17,49%,1.14,8.5,1.1,5,5,11,1,45%,0.86,7.8,-1.2,1049.44
"TOCCHET, RICK",R,1144,14.4,440,512,952,82,297,378,675,130,131,261,13,3,16,1394,450,944,76,21,70,923,798,294,370,665,46,912,800,1.14,1.03,17,112,95,33%,1.07,4.7,0,116,114,230,16,47%,0.97,6.8,-0.2,12,12,24,2,7%,0.85,1.0,-0.2,799.87
"CHELIOS, CHRIS",D,1651,20.7,185,763,948,350,103,386,489,69,338,407,13,39,52,2328,735,1951,708,120,94,1473,1149,101,400,502,24,1522,1185,1.28,1.18,147,337,190,39%,1.23,8.0,2,59,301,360,17,52%,1.02,10.8,0.2,13,13,26,1,57%,0.85,11.8,-1.9,1184.64
"ARNOTT, JASON",C,1244,15.5,417,521,938,81,270,342,612,145,178,323,2,1,3,1398,539,822,43,6,72,853,707,310,395,704,45,981,818,1.20,1.00,3,163,160,32%,1.07,5.0,0,151,183,335,22,59%,1.01,9.1,0.1,2,2,4,0,5%,1.03,0.7,0.0,817.87
"HOSSA, MARIAN",L,1018,12.8,434,501,935,183,289,293,582,126,198,324,26,10,36,1234,487,723,140,37,52,710,531,341,344,685,54,836,617,1.35,1.12,54,218,164,30%,1.18,3.8,1,127,194,321,25,58%,1.09,7.4,0.6,38,38,75,6,20%,0.99,2.5,0.0,617.09
"THOMAS, STEVE",L,1235,15.6,421,512,933,17,315,370,685,106,141,247,0,1,1,1314,407,921,31,5,55,902,835,317,377,694,45,916,841,1.09,1.07,37,75,38,31%,1.07,4.8,0,98,133,230,15,41%,0.99,6.3,-0.1,0,0,0,0,3%,1.13,0.4,0.0,840.99
"ELIAS, PATRIK",R,1090,13.7,375,555,930,191,257,343,600,104,201,305,14,11,25,1174,422,681,107,30,61,722,513,302,403,706,51,847,598,1.42,1.05,22,249,227,30%,1.13,4.2,0,126,239,364,27,61%,0.97,8.3,-0.3,23,23,47,3,19%,0.80,2.6,-0.6,597.53
"BROTEN, NEAL",C,1099,14.0,289,634,923,18,197,386,583,67,223,290,25,25,50,1380,519,1203,354,60,86,801,763,172,346,518,37,711,687,1.03,0.94,-26,24,50,29%,0.97,4.1,0,54,175,229,16,48%,0.98,6.7,-0.2,22,22,43,3,37%,0.93,5.2,-0.4,687.49
"ST. LOUIS, MARTIN",C,979,12.4,340,572,912,12,225,360,585,87,196,283,28,16,44,1246,454,950,147,44,67,748,736,267,430,697,56,891,875,1.02,0.83,-108,17,124,37%,0.89,4.6,-1,89,214,303,25,64%,0.98,7.9,-0.2,39,39,77,6,19%,1.05,2.4,0.1,874.67
"ROBERTS, GARY",L,1224,15.1,438,472,910,229,316,362,678,109,106,215,13,4,17,1350,381,861,119,25,48,944,694,321,374,695,46,967,727,1.33,1.10,54,240,186,31%,1.17,4.6,1,99,96,195,13,38%,1.03,5.7,0.1,13,13,25,2,10%,0.97,1.6,0.0,727.34
"STEVENS, SCOTT",D,1635,20.5,196,712,908,393,119,466,585,72,229,301,5,17,22,2377,560,2018,593,86,92,1731,1333,114,458,572,28,1704,1306,1.30,1.19,169,397,228,42%,1.23,8.6,2,60,191,251,12,40%,0.94,8.2,-0.5,5,5,10,1,56%,0.88,11.5,-1.5,1306.35
"AMONTE, TONY",R,1174,14.7,416,484,900,96,285,318,603,108,158,266,23,8,31,1259,427,940,198,40,65,792,677,318,356,674,46,887,758,1.17,1.05,28,129,101,32%,1.10,4.7,0,113,162,275,19,50%,0.95,7.3,-0.3,25,25,50,3,21%,0.98,3.1,-0.1,758.26
